Index,IUPAC
193,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
194,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8
195,GlcNAc(b1-6)GalNAc(a1-Sp8
196,GlcNAc(b1-6)GalNAc(a1-Sp14
197,GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8
198,Glc(a1-4)Glc(b1-Sp8
199,Glc(a1-4)Glc(a1-Sp8
200,Glc(a1-6)Glc(a1-6)Glc(b1-Sp8
201,Glc(b1-4)Glc(b1-Sp8
202,Glc(b1-6)Glc(b1-Sp8
203,G-ol(1-Sp8
204,GlcA(a1-Sp8
205,GlcA(b1-Sp8
206,GlcA(b1-3)Gal(b1-Sp8
207,GlcA(b1-6)Gal(b1-Sp8
208,KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
209,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
210,Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9
211,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9
212,Man(a1-2)Man(a1-3)Man(a1-Sp9
213,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
214,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
215,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
216,Man(a1-6)[Man(a1-3)]Man(a1-Sp9
217,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9
218,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
219,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
220,Man(b1-4)GlcNAc(b1-Sp0
221,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
222,(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
223,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0
224,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8
225,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0
226,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8
227,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14
228,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
229,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
230,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
231,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
232,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8
233,Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
234,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0
235,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8
236,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
237,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
238,Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8
239,Neu5Ac(a2-3)GalNAc(a1-Sp8
240,Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0
241,Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(c1-Sp8
242,Neu5Ac(a2-3)Gal(b1-3)[ Fuc(a1-4)]GlcNAc(b1-Sp8
243,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
244,Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8
245,Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8
246,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8
247,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14
248,Neu5Ac(a2-3)Gal(b1-Sp8
