ancient,old,new,PSA 0.1ug/ml Slide#14031 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 1ug/ml Slide#14039 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 10ug/ml Slide#14040 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 100ug/ml Slide#14031 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 10ug/ml Slide#14172 CFG#2342 v5.0 Alexa488 7/6/11 HJ
KDNα2-3Galβ1-3GalNAcα-Sp14,KDNa2-3Galb1-3GalNAca-Sp14,KDNa2-3Galb1-3GalNAca-Sp14,13.8458,11.367275000000005,16.591325,16.3285,12.4045
Fucα1-2Galβ1-3GlcNAcβ1-2Manα1-3(Fucα1-2Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20,Fuca1-2Galb1-3GlcNAcb1-2Mana1-3(Fuca1-2Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Fuca1-2Galb1-3GlcNAcb1-2Mana1-6(Fuca1-2Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,16.399024999999998,22.44105,16.792900000000003,60.264025,32.22935000000001
Fucα1-2Galβ1-4GlcNAcβ1-2Manα1-3(Fucα1-2Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20,Fuca1-2Galb1-4GlcNAcb1-2Mana1-3(Fuca1-2Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Fuca1-2Galb1-4GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,11.442100000000002,20.579700000000006,20.461025,143.11985,37.418675
Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-2Manα1-3(Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAβ-Sp20,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAb-Sp20,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAb-Sp20,26.035025000000005,19.566925,32.38430000000001,311.1837,18.414375
Galα1-3Galβ1-4GlcNAcβ1-2Manα1-3(Galα1-3Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20,Gala1-3Galb1-4GlcNAcb1-2Mana1-3(Gala1-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Gala1-3Galb1-4GlcNAcb1-2Mana1-6(Gala1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,12.90135,24.471775,63.8533,133.369025,29.469275000000003
Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Galb1-4GlcNAcb1-2Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,6.606575000000001,-1.064,26.68495000000001,53.308475000000016,13.464599999999995
Galβ1-3(Fucα1-4)GlcNAcβ1-2Manα1-3(Galβ1-3(Fucα1-4)GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4(Fucα1-6)GlcNAcβ-Sp22,Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3(Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,Fuca1-4(Galb1-3)GlcNAcb1-2Mana1-6(Fuca1-4(Galb1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,57.10035,3496.4784500000014,8494.93375,14530.018574999998,37.35522499999999
Neu5Acα2-6GlcNAcβ1-4GlcNAc-Sp21,Neu5Aca2-6GlcNAcb1-4GlcNAc-Sp21,Neu5Aca2-6GlcNAcb1-4GlcNAc-Sp21,6.809099999999997,-0.3657500000000011,2.1143,3.4725,-4.098400000000002
Neu5Acα2-6GlcNAcβ1-4GlcNAcβ1-4GlcNAc-Sp21,Neu5Aca2-6GlcNAcb1-4GlcNAcb1-4GlcNAc-Sp21,Neu5Aca2-6GlcNAcb1-4GlcNAcb1-4GlcNAc-Sp21,-1.0071999999999983,1.9112250000000015,2.5525249999999997,1.6427999999999994,-0.6817000000000002
Fucα1-2Galβ1-3GlcNAcβ1-3(Galβ1-4(Fucα1-3)GlcNAcβ1-6)Galβ1-4Glc-Sp21,Fuca1-2Galb1-3GlcNAcb1-3(Galb1-4(Fuca1-3)GlcNAcb1-6)Galb1-4Glc-Sp21,Galb1-4(Fuca1-3)GlcNAcb1-6(Fuca1-2Galb1-4GlcNAcb1-3)Galb1-4Glc-Sp21,6.71885,4.574225,7.6958499999999965,26.908900000000006,3.5658249999999985
