ancient,old,new,Human DC-Sigh-AF488 200ug/ml Slide#15317 CFG#2569 v5.0 Alexa488 3/28/12 HJ,Human DC-Sign-R-AF488 200ug/ml Slide#15318 CFG#2569 v5.0 Alexa488 3/28/12 HJ,Human DC-Sign-tetramer 200ug/ml Slide#15320 CFG#2569 v5.0 Alexa488 3/29/12 HJ,Human-DC-Sign-R-Tetramer 200ug/ml Slide#15321 CFG#2569 v5.0 Alexa488 3/29/12 HJ,Human DC-Sign(Gal) (200ug/mL) Slide#11435 CFG#1874 v4.1 Alexa488 2/4/10 Hong
GlcN(Gc)β-Sp8,GlcN(Gc)b-Sp8,GlcN(Gc)b-Sp8,37.0399,189.56887500000005,12.852100000000002,135.91899999999998,4.14335
Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,32.2391,144.83459999999997,15.920399999999995,200.06565,10.958850000000002
,,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,43.88340000000001,148.022725,20.838575,151.5285,
GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,46.62365000000001,170.345,28.92465000000001,301.50195,4.8683999999999985
[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,48.26855000000001,230.88935,31.5088,157.21927499999995,2.626325
[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,6S(3S)Galb1-4GlcNAcb-Sp0,57.50715,133.868225,26.5168,216.0713,6.972075000000018
[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,21.98875,37.898375,25.80167500000001,250.86097499999997,7.083249999999998
[3OSO3]Galβ1-4Glcβ-Sp8,[3OSO3]Galb1-4Glcb-Sp8,(3S)Galb1-4Glcb-Sp8,23.537475,128.49777499999993,34.274175,23.51775000000001,7.255074999999998
[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp0,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,(3S)Galb1-4(6S)Glcb-Sp0,34.40305000000001,212.772075,23.342550000000006,73.823775,2.6442
[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,(3S)Galb1-4(6S)Glcb-Sp8,47.79567499999999,41.5375,61.00664999999999,34.569875,7.492175000000001
[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,360.17505000000006,274.95685000000003,101.7099,76.780975,-0.061724999999999135
